Document # (page in master .pdf file)	Date (MM/DD/YYYY format)	"Name of writer (last, first, middle)"
628	04/04/05	N/A
181	04/17/05	N/A
253	03/11/13	N/A
251	11/26/13	"Bullard, Chas, E"
247	11/09/16	N/A
249	11/17/16	The Chatemiac Club
171	01/01/18	N/A
172	02/01/18	N/A
246	10/21/19	N/A
245	10/23/19	"McSweeney,J.,D."
209	06/18/24	Jackson Townsend
243	09/20/24	Walter G. Emerich
241	09/24/24	"Hacuwltoci, O, M"
242	09/24/24	"H, M, L"
238	11/18/24	N/A
237	09/02/25	Plymouth Rock Trout Co.
223	11/07/25	N/A
583	01/11/26	"Nettleton, George, H"
626	08/27/26	"Newcomb, W, J"
627	08/27/26	"Newcomb, W, J"
625	08/30/26	"Nellaton, G, H"
624	09/01/26	"Macdonald, Alexander"
621	09/02/26	"Newcomb, W, J"
622	09/02/26	"Newcomb, W, J"
623	09/02/26	"Newcomb, W, J"
620	09/09/26	"Newcomb, W, J"
618	09/21/26	"Newcomb, W, J"
619	09/21/26	"Newcomb, W, J"
615	09/22/26	"Belling, J, W"
616	09/22/26	"Macdonald, Alexander"
617	09/22/26	"Macdonald, Alexander"
613	09/23/26	"Newcomb, W, J"
614	09/23/26	N/A
608	09/25/26	N/A
609	09/25/26	Jesh
609	09/25/26	Plymouth Rock Trout Co. 
610	09/25/26	"Newcomb, W, J"
611	09/25/26	"Newcomb, W, J"
603	09/27/26	"Hoxie, N, F"
604	09/27/26	"Mueller, Frank"
605	09/27/26	"Hax, John, A"
601	09/28/26	"Kelts, Authur, C"
600	09/29/26	N/A
599	09/30/26	"Newcomb, W, J"
594	10/04/26	"Bishop, M, S"
595	10/04/26	N/A
597	10/04/26	N/A
593	10/05/26	"Poradford, W, A"
592	10/06/26	"W, T, F"
591	10/08/26	"Newcomb, W, J"
589	10/11/26	"King, H, Prior"
590	10/11/26	"King, H, Prior"
588	10/28/26	"Newcomb, W, J"
587	10/29/26	"King, H, Prior"
235	11/30/26	"Newcomb, W, J"
236	11/30/26	"Newcomb, W, J"
585	11/30/26	"Newcomb, W, J"
573	01/12/27	"Newcomb, W, J"
582	01/21/27	"Newcomb, W, J"
572	01/24/27	"Newcomb, W, J"
579	02/26/27	"Macdonald, Alexander"
578	02/28/27	"Annin, H, K"
577	03/07/27	N/A
576	03/08/27	"Newcomb, W, J"
569	03/15/27	"Newcomb, W, J"
570	03/15/27	"Newcomb, W, J"
571	03/15/27	"Newcomb, W, J"
568	03/17/27	"Nettleton, George, H"
566	03/22/27	N/A
567	03/22/27	"Newcomb, W, J"
567	03/22/27	"Newcomb, W, J"
564	04/04/27	Jackie
565	04/04/27	"Newcomb, W, J"
558	04/06/27	"Macdonald, Alexander"
557	04/11/27	"Newcomb, W, J"
559	04/11/27	"Newcomb, W, J"
560	04/11/27	"Newcomb, W, J"
561	04/11/27	N/A
562	04/11/27	"Newcomb, W, J"
554	04/13/27	"Hayford, Chan, O"
